date,review,sentiment,score
12-03-2023,"Phenomenal coffee, delicious foods and amazing service by Sabina! One of my favourite coffee places! 😍",excellent,451.49
12-03-2023,We visited Ettarra on a lazy Sunday afternoon and it was all worth it.. their filter coffee served with banana crispies was flavourful and authentic. A must visit👍,excellent,387.46
17-03-2023,fresh food,excellent,125.83
17-03-2023,fresh food,excellent,125.83
18-03-2023,fresh food,excellent,125.83
19-03-2023,fresh food,excellent,125.83
19-03-2023,service is great and fas...,excellent,222.99
22-03-2023,"Absolutely love the filter coffee and paparotti here. What makes the experience even better is the warm hospitality and service. Special shout-out to Sabina who took care of us, gave us the best recommendations and spoilt us with lots of banana chips. ",excellent,352.37
24-03-2023,cold filter coffee,positive,32.76
24-03-2023,good quality,excellent,195.18
24-03-2023,"We had a fab experience. This place although small, has a very warm vibe. They were gracious enough to accommodate us in the private dining space. Special mention for our server Ms Sabina who gave us top class 5* service. Defo coming back soon for the next round of coffee ",positive,190.94
24-03-2023,good quality,excellent,195.18
26-03-2023,fresh food,excellent,125.83
26-03-2023,Excellent service by Sabina - she was really nice and cordial. Made my Sunday greeting such a friendly smile. I really loved the coffeee. The vibe is amazing!! Lovely food and service. Love that it’s 24x7 !!! :) ,excellent,417.95
30-03-2023,good food,positive,184.92
02-04-2023,"The Kappi and frappe are too good to try. The best is that they give complementary water bottles and banana chips. Appetizers are also good to taste. Sabina served us really well , she is very mindful and active about the calls",positive,151.09
06-04-2023,fresh food,excellent,125.83
09-04-2023,fresh food,excellent,125.83
10-04-2023,The paparoti was charred to the point it tasted burnt and was very dry on the inside. I don’t think delivery is a good option for them. Maybe the food will be better in the restaurant.,negative,263.8
11-04-2023,"We stepped in late, at 1 am ish, and we’re greeted with a smiling face, ready to make our evening ☺️Numan made us two delicious coffees, exactly to our specifications 💯 he was so precise, and so passionate. It touched our hearts and made us feel at home, for some reason.That’s just a brilliant phenomenon, to make 2 girls feel so comfortable, so silently. More Power to Numan ❣️",excellent,278.89
11-04-2023,Terrible packaging.,very negative,309.39
13-04-2023,I expected banana chips to be a little thinner and crispier. And the paparoti was very dry with flaky burnt top,neutral,189.4
15-04-2023,delicious food,excellent,177.49
15-04-2023,fresh food,excellent,125.83
15-04-2023,"worst, stale",very negative,391.33
16-04-2023,fresh food,excellent,125.83
16-04-2023,cute packaging,positive,174.98
16-04-2023,I am not a coffee drinker.. i used to absolutely love this place for it's lemon tart..i specifically go there for that but today to my disappointment i was told it's been discontinued.. seriously it was so good.. i don't understand why.. UPDATE:- it's amazing how some places actually care about what a customer wants.. ettara has gone above and beyond.. they actually got the lemon tarts back because one of their picky customer wanted it( that's me)🤪.. super lovely staff..not only that they gave me a couple of extra tarts on the house just to make it up.. please visit this place not just for the coffee but also for the ambience it's lovely especially in the evening..,negative,86.5
19-04-2023,The coffee in Mumbai @ Yttarra juhu tata road & you get best hospitality by their team here especially the young lady Sabina….wishing Yttarra & all here All The Very Best Always..,excellent,189.4
23-04-2023,"The service is really good and it is a vibe here. The soothing playlist is curated to give you a peaceful experience from the hustle of your Mumbai lifestyle and the amazing coffee hits the spot to give you a caffeine boost. I was served by Sabina who was a delight and a refreshing face to come across, her service was very commendable and sweet. Love coming here to work in a peaceful environment!✨",excellent,307.03
24-04-2023,good quality,excellent,195.18
01-05-2023,good quality,excellent,195.18
05-05-2023,really good vibe,excellent,229.6
06-05-2023,Very peaceful place to chill with great coffee collection. Love the service and great coffee.,excellent,352.3
08-05-2023,Takeaway: Had the best South Indian Frappe. Almost tastes like coffee ice-cream. Kundan is extremely patient with order requests and Sabina was very prompt too. Thank you guys. ,excellent,201.74
14-05-2023,"Definitely one of the best coffee's  I've had.,staff is amazing( forgot my mobile and packet there but they were quick to have spotted it) - brownie points for Sabina who was super sweet and very helpful!!!",excellent,387.72
17-05-2023,a complimentary banana chips pack was cherry on top 🥰lovely coffeeeee,excellent,215.95
18-05-2023,Very cheap tasting coffee and reallly bad cookie.,very negative,356.84
18-05-2023,I love the coffee here.A must try better than the hyped ones.Love the filter cold coffee recommended by Sabina.Thank you sooo much.Lovely small and cozy place.Even the baked vada pav is to die for....and the staff too is very sweet and friendly.100% recommended.Love this place💯💯💯,excellent,447.94
21-05-2023,Very fresh and good taste,excellent,262.67
24-05-2023,the cups in which order was delivered was very feeble. they were bending by the time it got delivered to us and delivery time was 25 mins,negative,169.37
30-05-2023,Amazing coffee place and amazing service by Safina! Thank you :),excellent,404.32
04-06-2023,"Great coffee, better than third wave and Starbucks nearby. Their coffee tasted freshly roasted and smooth. The waitress suggested we try their papa roti and it was so good we took 2 for take away. Buttery smooth inside with a crisp outer layer made of powdered cinnamon. I left my cash at home and my International credit card would not work with their machine. Deepak was super kind and insisted that I come back and pay them whenever I can. 5 star service right there. Cafe dining space is literally inside a hotel lobby. Only two tables.",excellent,179.21
10-06-2023,"I recently visited this quaint little café in Juhu and had an incredible experience! Their filter coffee is truly exceptional, boasting the rich flavors that South Indian coffee enthusiasts crave. As an added bonus, they generously provide complimentary banana chips, which perfectly complemented the aromatic coffee.What impressed me even more was their offering of cold coffee tasters. I decided to try their original South Indian frappe, and it exceeded my expectations. The balance of sweetness was spot-on, making it a refreshing and delicious treat.The ambiance of the café was warm and inviting, creating a cozy atmosphere to savor my coffee and enjoy the delightful company of...read more",excellent,319.77
10-06-2023,"We had a lovely time at Ettarra. The service was really nice, and the staff was kind. The coffee was great. It is a must try. Really aesthetic ",excellent,243.54
11-06-2023,Amazing filter coffee hot & cold loved the combo with banana wafers …must visit 👌👌❤️,excellent,353.48
06-07-2023,"Ordering my morning breakfast from here was the best decision I have made in a while. The baked vada pav is ingenious, all the goodness of a vada pav in a bun form. Delicious and surprisingly filling. The berliner was really tasty filled with goey creamy goodness,but I'd order at least 3 of these next time to make up for the size, it's a bit small. And thank you for the banana chips, they added finely with my overall experience, thank you for making my morning such a pleasure. ",excellent,305.97
06-07-2023,Ettara is one of the finest aromatic coffee in Mumbai.. Specially made by Ms. Sabeena she has the right and perfect knowledge of the taste you want... ,excellent,358.1
06-07-2023,Excellent experience at Ettarra The coffee was awesome and the service experience was totally outstanding with Sabina around she gave us an amazing service and made us feel totally special kudos to her !!!,excellent,406.61
06-07-2023,"Brilliant food, brilliant cookies, awesome madagascar choco coffee. Big ups to sabina for being so wholesome and vibrant while serving.",excellent,426.5
06-07-2023,Ettarra is pure love! It’s comfort and warmth wrapped in a cup of coffee. Sabina blends her love with that amazing smile in every cup she serves. It just makes ettarra feel more like home than just a cafe! ❤️❤️❤️,excellent,425.15
06-07-2023,Visited here for a quick coffee break and the filter coffee was amazing. The staff is very cooperative thanks to Sabina for her amazing service!,excellent,256.71
06-07-2023,spoiled milk in coffee. spillage issue. half quantity of cup,very negative,153.95
06-07-2023,"Very nice pleasant place, with wonderful staff, specially Sabina. Made our Sunday so much sweeter. Will surely keep revisiting for amazing desserts and coffees. ❤️",excellent,361.64
06-07-2023,"Hopped on to this quaint little place on a cloudy day and were greeted pleasantly by Sabina, who not only serves great coffee but also smiles to dim your dull moment if you’re having one. Loved the baked vada pav she recommended. Would love to visit again!",excellent,294.18
06-07-2023,"Finally some real coffee☕️ The place is so cozy and the staff is so warm, generous and courteous. They give you a taster to check if your coffee is right and then serve the coffee. Sabina, especially is ever smiling and makes sure you have your perfect Cuppa!!! And, the yummy banana chips that accompanies your coffee is irresistible. Oh yes, their paparoti freshly baked out of the oven is 10/10❣️",excellent,219.17
06-07-2023,"it's time to review this beautiful little coffee place, which has become my favourite stop on my way to work. The coffee is great but what is better is the generous staff. you ask for one chip, they will give you a bowl, just to taste. You tell them you like your coffee strong, they will literally add three times more coffee than their usual, just because. And they will always, always smile. They usually turn a bad morning into a good one just by being generous and kind. ",positive,230.46
06-07-2023,"Absolutely loved discovering this quaint little place in the heart of Juhu. To die for filter coffee and banana chips. Thank you Sabina for such wonderful service and company. Loved your playlist, made for the perfect companion in the rains ❤️",excellent,390.71
06-07-2023,I love their coffee. They serve banana chips along with it (even that’s tasty)..must try their crinkle cookies. Ms.Sabina is very courteous and serves us with a smile always!,excellent,360.96
06-07-2023,"We had wonderful time at Ettarra. Sabina was really polite, attentive and hospitable. This was my first visit based on my friend recommendation. Their filter coffee and banana chips. took me back to lanes of Kerala. Their choclate cookies melts in the mouth. Overall 9.5/10. 0.5 deducted as i strongly believe tips is by choice and not be added in the UPI payment by default. Though the biller definitely offered to cancel tips pay post confrontation, point is why are by default without informing customer by default. Such discussion leaves a bitter taste after a wonderful experience service given by folks Sabina. ",very negative,62.74
06-07-2023,We had a lovely time. Sabina and Deepak really helped us throughout. And the coffee there is worth it and value for the price! ,excellent,322.12
06-07-2023,one of the few places I loved the filter coffee ..just amazing ,excellent,282.93
06-07-2023,Sabina helped us pick our coffee and customised its taste to our specific liking. Very professional yet warm and amicable service. The Spicy Banana Chips is a must try along with the coffees that the cafe offers. Thank you Sabina for assisting us. We had a lovely experience at Ettarra!,excellent,377.99
06-07-2023,Loved the fact that they serve their coffees with a side of banana chips.,excellent,152.1
06-07-2023,Sabina was amazing. Helped in sleeping the perfect coffee.,excellent,363.56
06-07-2023,very good service. especially Sabina is very thoughtful and hospitable.,excellent,289.55
06-07-2023,The paper cups and too thin and almost disintegrate by the time the package is delivered,negative,233.66
06-07-2023,Milk was bad coffee was over roasted not freshly brewed coffee was bad ... very bad,very negative,386.39
06-08-2023,"Visited the place after seeing so many good reviews. While the coffee is good and the range of bakery items interesting, there is absolutely no proper provision to sit. The 2 indoor tables are literally in the reception area of the Hotel where Hotel residents keep coming and going for their keys, check in etc. The outdoor seating is on the footpath of the Hotel! With an extended shade it’s made to look like an outdoor area but you will have passers by walking next to your table.",negative,80.12
06-08-2023,"good quality coffee,well assisted by Sakshi and Asif.must visit ",excellent,283.85
06-08-2023,Unpaid review .. follow for more authentic recommendations.Overall 4/5Went here on a Sunday afternoon,positive,171.14
06-08-2023,Great coffee! Great service. We were served by Sabina.,excellent,362.47
06-08-2023,"The coffee is to die for .. and special kudos to Sabina. She is always cheerful, patient and takes extra care to ensure u get your perfect coffee. My coffee is usually not the OTC types and is usually customised and each time she has made it perfectly .. snd she is super honest .. if you forget something she will ensure that it is kept safe ….thank you Sabina … keep up the good work 😊",excellent,86.29
06-08-2023,This place is part of Juhu Residency Boutique Hotel. It has seating inside and outside. Cute and sweet coffee place. I had hot chocolate and it was good. It’s bit expensive as compared to service. Overall good experience.,positive,296.25
06-08-2023,"Thank you Sabina for your amazing recommendations! Loved the South Indian Filter coffee frappe and Nariyal Irish Cream frappe recommended by her. Service is amazing, with fried banana chips and water bottles complimentary along with every order. Makes you feel right at home.Hope the Malnad Tonic is back in stock soon, till then, a regular customer!",excellent,400.08
06-08-2023,received the cappuccino without sugar !?,very negative,183.43
06-08-2023,A perfect coffee house with amazing coffee and a new concept!!,excellent,422.92
06-09-2023,the Vietnamese coffee made by Sabina was fantastic! a great selection of coffees and short eats. Will definitely come back here.,excellent,375.96
06-09-2023,"Amazing place with a great ambiance, lovely staff and the best coffee ever!!!",excellent,447.33
06-09-2023,amazing vibe,excellent,271.72
06-09-2023,"amazing hospitality and service by Sabina, Asif, Kundan, Preeti and Sakshi. Ask the Barista for their recommendations and what they serve you is delicious! Have already been here 4 times and looking forward to more!",excellent,410
06-09-2023,"The staff was really really sweet!!! A massive thank you to Sabina, Sakshi, Kundan, Asif and Preeti for their hospitality :) One of my favourite gesture was when I got to taste my coffee before they served it to me. An excellent experience and highly recommended 🫶🏻",excellent,395.02
06-09-2023,I highly recommend this place...it's a very small seating place but the service was top notch. The person who served us was Sabina and she was very friendly and made amazing Coffee,excellent,311.28
06-09-2023,Great coffee. Good ambiance with prompt service. Sabina was fantastic with the service and coffee,excellent,319.32
06-09-2023,"We stumbled upon this place after a chaotic flight from Bangalore and it was just what we needed- some quiet and the welcoming aroma of great coffee. The staff were really sweet and helpful and extremely attentive. They gave us little samplers and also showed us the grind size when we bough coffee from them(they could tell we were picky). The snacks are just the perfect size and very well priced. Their veg calzone and baked vada pav were excellent. With coffees we had the mocha frappe, filter coffee frappe and the Irish americano, all very yummy.The service is not the speediest, so come in when you have some time to slow down and shut the world out. But big shout out Sabina, Kundan and...read more",positive,112.53
06-09-2023,Fantastic MenuFantastic Service via Sabina and even better coffee from Asif 🔥10/10 would recommend,excellent,317.19
06-09-2023,fresh food,excellent,125.83
06-09-2023,"Recently visited this cozy Cafe in Juhu and tonmy surprise had the best Experience. Sabina, Kundan and Priti thank you son very much for your recommendations and such warm hospitality. me and my husband enjoyed your hot and cold filter coffee with form. shall definitely would recommend this place. ",excellent,357.34
06-09-2023,The coffee is great and wait staff is really sweet and helpful especially Sabina. The service was awesome,excellent,333.21
06-09-2023,Great service by Sabina!!,excellent,292.64
06-09-2023,Thankyou Sakshi for the delightful experience and amazing cold coffee.... 👌🏻❤️,excellent,320.56
06-09-2023,"loved the cafe vibe , cold coffees, chocolate cookies.  Our server (sakshi) had a very warm & welcoming vibe.",excellent,207.68
06-09-2023,"Iced Latte Excellent coffee as always. Writing Reviews - Single dish order names must be mentioned as Zomato does Not include them by default 😔Packaging was also good this time, otherwise the cup foil peel-off can bend cup out of shape and spill contents as glue is very strong. Good Stuff!",positive,247.36
06-09-2023,"Visited this place on a Saturday night. Amazing food, really good coffee to sip on and the vibe of the place is 👍🏻",excellent,321.1
06-09-2023,"Stumbled onto Ettarra by chance, but keep going back by choice. It's an experience to enjoy. The indoor as well as outdoor seating is great, and the food and beverage options are fantastic. My favourites so far are the South Indian Filter Kaapi Frappe, the Naariyal Frappe, and the berliners. They will customise the drinks to your liking (make it stronger, thicker, sweeter, etc) and have milk alternatives for all, which is a blessing. The staff is very good, service is prompt and cheerful and they explain things to you if you're unsure. If you're lucky, you'll meet Sabina and it's impossible not to smile back at her, with her infectious energy. All in all, a great place to spend some...read more",positive,190.23
06-09-2023,Dint send complimentary banana chips😣,excellent,95.57
06-09-2023,"Had an amazing experience!! Thanks to Sabina, she was polite, respectful and really helpful. This is going to be our regular..",excellent,296.57
06-10-2023,The baked vada pav and calzone were refrigerator cold. The boxes they were sent in felt like they were directly removed from the refrigerator and sent. This also means they werent freshly prepared. this is unacceptable. These guys were so lazy they coudnt even warm the food in a microwave and send it. ,very negative,323.47
06-10-2023,"Iv visited ettara 3-4 times and the coffee there is amazing. We tried almond frappe, madagaskar chocolate frappe, kappucino. Its really really good. Staff is very courteous and make you taste the coffee before serving. Must visit if you are a coffee lover",excellent,244.99
06-10-2023,"""Sameena at Ttarra was a delight! Her kindness and great service made our visit special. We'll definitely be back for both the coffee and her friendly hospitality.""",excellent,258.46
06-10-2023,Sabina was extremely sweet and very courteous,excellent,57.43
06-10-2023,"Great food, coffee and service! Sabina helped us choose our beverages and provided great inputs. She was also very accommodating since we had a toddler with us and provided special assistance to ensure we were comfortable!",excellent,405.26
06-10-2023,"Was recommended to try out Ettarra recently and I must say, this is a really cool little cafe. Great variety of coffee and found a personal favourite in their Hazelnut Frappe. Their snacks are also flavourful. Was served by Sabina who has a keen interest in ensuring the best cafe experience you can have! Looking forward to visiting them many more times",excellent,354.79
06-10-2023,"We were attended by Sabina, and she was really really sweet🥰She gave us spicy and salted banana chips to have with the coffee as complimentary. Also, she gave us tasters for our drinks in case we want to make any modification. I loved how they have a curated playlist on their coaster, you can scan the barcode and listen to some soothing music which really goes with the vibe of the cozy cafe.Great service and good really good coffee.I had the South Indian Frappe and it was yum✨",excellent,266.13
06-10-2023,The coffee ordered was too good . Sabina made sure that it’s made as per our taste and was very courteous.,negative,179.93
06-10-2023,This is simply an amazing place which should be on your list to visit. Thank you Sabina for an amazing suggestion exactly as per my taste and Sakshi the ever smiling gentle soul for spreading positivity. they really have the best coffee you should visit. and don't miss their banana chips and music playlist. my favourite ❤️,excellent,465.31
06-11-2023,"It was a very nice experience, berliners were awesome and tart was superb. You should definitely try this place. Staff is so good, cheerful and nice, store manager was the sweetest",excellent,299.94
06-11-2023,"This is the cutest coffee shop with the cutest staff . The service is amazing. Go find Sabina at Ettarra she makes the best coffee in the city, she’s outstanding and extremely warm.  I always order my regular classic frappe and it never goes wrong. One of the best things is that she always gives you tasters for your coffee order☕️Big shout out to Sabina and the staff there.",excellent,392.92
06-11-2023,"The best coffee I am a regular at etarra, the frappe made by Sabina is the best frappe I have had in Mumbai , she is extremely warm and sweet and is excellent at customer management , I would highly recommend this place for coffee , it’s a small joint but nonetheless the coffee and service is impeccable",excellent,378.4
06-11-2023,I ordered a mocha which had specifications but the taste is completely like black coffee without milk and sugar,very negative,156.43
06-11-2023,"Savoured Kappucino at Ettarra, an American twist to the traditional Filter Coffee alongside a curated Playlist of songs of Ettarra at Spotify. Shout out to Barista Deepak who explained us the story of how they came up with the idea of Kappucino, alongside his Journey at Tata Strive. ",positive,39.15
06-11-2023,Asif Sheik was great ...my coffee was perfect !!!,excellent,315.55
06-11-2023,"One of the best 24x7 open places in Mumbai. The food is brilliant. It's vegan friendly, they serve delicious coffees - they can make them sugarfree, vegan, what you may. They also offer tasters before serving the full beverage so that you can modify it to your taste. The service is super nice too.",excellent,428.76
06-11-2023,Took my order and didn’t deliver my coffee,very negative,263.79
06-12-2023,Asif shaikh and there team was very friendly i was new to mumbai and tried this cafe cappuccino was great even the ambience,excellent,219.18
06-12-2023,Asif sheikh Very good service and a very humble man,excellent,255.57
06-12-2023,Asif was very helpful,excellent,197.14
06-12-2023,great and warm service! amazing coffee👍,excellent,400.66
06-12-2023,Amazing Coffee !Loved the ambience ♥️Asif Shaikh was our attendant,excellent,364.83
06-12-2023,I come here every night. Asif Sheikh knows how to make a great hot chocolate!,excellent,341.71
06-12-2023,"The coffee is amazing and the service is amazing, the server was Asif and was really polite",excellent,282.54
06-12-2023,"service - was excellent they customized to our liking but coffee we had was ok. ambience- sitting is not too pleasant. seems like the hotel reception staff is sitting with you. they should change arrangements. Other outside guests coming for rooms/hotel inquiry are also next to you. coffee- maybe our choice was not right - South Indian filter coffee frappe was highly recommended by staff. it was sweet, thick, creamy but artificial creaminess type with thickner Or emulsifier.  made with ready frappe mix, didn't enjoy the texture n it was too heavy. ",neutral,234.57
06-12-2023,"A quaint place in the premises of Juhu Residency, this place surprised me. Asif Shaikh gave us impeccable service. He took care the coffee was as we like to have it. You are served complimentary banana chips the moment you seat yourself. My suggestion - serve your coffee with plant based milk also. Indoor seating is limited but there is ample tables on the curbside. A cafe one will love to go back to.",excellent,179.69
06-12-2023,"Not only was the coffee excellent, the service was excellent too. there's a young lady and a man at the counter, who were both extremely pleasant, heard my kid just mention he's hungry, and gave some complimentary banana wafers. That's next level customer care. ",excellent,225.02
06-12-2023,Had an iced latte and a filter coffee with some savouries which was fresh and tasty...definitely shall visit again. Recomendations by Sabeena what to order  and courtesy by other staff was helpful.  ,positive,173.96
06-12-2023,It was supposed to be a vietnamese coffee and did not taste like one at all. Tasted like normal cold coffee with vanilla icecream instead of the condensed milk!,very negative,270
06-12-2023,Very cold and stale … also very small size…. Give me refund,very negative,305.9
06-12-2023,delicious food,excellent,177.49
06-12-2023,"guys dish ka naam dekhlo ache sey dono bhi, plz mat order karna😂🙏🏻 they're just fooling us it was jst a mini vadapav type thing in the name of keema pav and a damn small sandwich  , well played guys 🤣",excellent,13.19
06-12-2023,best coffee place in the whole of Mumbai ,excellent,355.86
06-01-2024,The packaging for chips said Salted but the chips inside were Spicy.,neutral,149.95
06-01-2024,Very good filter coffee joint,excellent,253.4
06-01-2024,"The service was really good. Thanks to Sabina, Lakhi and Dhruv for recommending good coffee and snacks.",excellent,236.92
06-01-2024,miss Sabina was so lively in hospitality and we particularly like the taster they provided before bringing a full drink.,excellent,277
06-01-2024,"The experience was really great and Specially Sabina(great Tamil speaker), Jabbar, the service and the way they explained the taste of different coffee was great. Special thanks to Asif and Lucky.",excellent,284.48
06-01-2024,"Lovely lil cafe in Juhu, warm hospitality and good coffee",excellent,254.78
06-01-2024,"Loved the experienceThe staff was extremely sweet, was served by sabina. Looking forward to many more visits!",excellent,281.87
06-01-2024,Delivered wrong order,very negative,280.67
06-01-2024,I didn’t receive exactly what I ordered,very negative,195.79
06-01-2024,Asif shaikh is on point and makes amazing coffee worth a visit,excellent,249.09
06-01-2024,"Asif Shaikh makes a MEAN coffee! If you wanna try something new, try a Vietnamese frappe with a hint of salt. It changes the GAME!",excellent,56.33
06-01-2024,"Absolutely lovee this place. Good coffee n affordable. Best papaparoti 🤍 n the sweetest staff. Special shoutout to Asif for always smiling n remembering our coffee preference. If u r having a bad day, this place can bring a smile.",excellent,403.64
06-02-2024,"I was impressed with both the quality of the coffee and the exceptional service provided by the staff(Preeti and Sabina). The coffee had a rich and satisfying flavor, and the staff members were friendly, attentive, and efficient. It created a delightful experience, and I would highly recommend it to fellow coffee enthusiasts.",excellent,345.08
06-02-2024,Great hospitality by Sabina & Preeti. Nice coffee.,excellent,297.03
06-02-2024,Will become your go to coffee place! Amazing service and a great menu,excellent,403.67
06-02-2024,very amazing service by asif sheikh loved the feeling and coffee. asif went out of the way and made the experience the best ever.,excellent,380.23
06-02-2024,"One of the best coffee house in Mumbai, they focus a lot on coffee and their bit size food is amazing, hat’s off to the chef. Even the staff is really friendly.",excellent,410.96
06-02-2024,The entire coffee had spilled,very negative,186.47
06-02-2024,"Really good portion and very tasty. Khushi was serving us and she did a very good job, very kind and attentive.",excellent,284.53
06-02-2024,"This place is a must visit. Amazing staff, delicious coffee and a great ambience!Sabina, Aftab and Dhruv made our coffee and served us, they had such a positive vibe and were extremely kind!",excellent,447.42
06-02-2024,"Had a really great time , amazing coffee by Sabina , Aftab and Dhruv",excellent,276.03
06-02-2024,Loved the place and the subtle vibes that it provides. Had come here completely confused on which coffee should I try and was assisted by Khushi who works here to try their signature hot coffee and it was totally worth the price.,excellent,171.35
06-02-2024,"The coffee and service were fantastic, as were Berliners suggested by our friendly and helpful server, Sabina. We will definitely be returning. :)",excellent,72.78
06-03-2024,Great food and service. and AB rocks,excellent,298.7
06-03-2024,Great service provided by staff and manager AB,excellent,304.83
06-03-2024,"Love this place, the staff, AB, Akash are always welcoming",excellent,349.16
06-03-2024,Thankyou for the complimentary snack,excellent,232.6
06-03-2024,"My recent visit to this coffee shop left me thoroughly disappointed. Firstly, the lack of seating options was frustrating, and despite the promise of complimentary banana chips and water, none were provided. The rudeness of the waiter further soured the experience. I specifically ordered a cold brew, which they served in glass bottles. However, when I requested to take the bottle with me, the manager refused, leaving me feeling cheated, especially considering the steep price of 300 rupees. Moreover, the lack of basic courtesy, like a simple ""thank you"" after payment, was glaring. Additionally, the excessive amount of ice added to the cold brew made it nearly impossible to enjoy...read more",negative,303.28
06-03-2024,"Guys you have to try their Coffees, it’s delicious 😋 to next level.It has failed Starbucks for me Thanks Sabina & Khushi for suggesting & making such delicious coffee & Vada pav for me 💝💝",excellent,61.64
06-03-2024,"good, enjoyed it",positive,219.41
06-03-2024,"One of the best coffee place in juhu area, staff is very friendly and polite with  smiley face always , make the  best classic frappe. Must try .",excellent,390.16
06-03-2024,"Nice place to enjoy a cup of coffee, their signature filter coffee and baked pav bhaji is worth to try. Sabeena was great at hosting us and certainly has a most beautiful smile ☺️",positive,265.97
06-03-2024,I had a wonderful experience I was amazed by the Berliners and staff here is very very sweet big shout out to Sabina and Priti they are the best ,excellent,308.03
06-03-2024,"amazing staff, lovely environment and what a pleasent way to start our day with delicious hot chocolate made by Jabbar, Priti and sabina...it is a must try..",excellent,352.16
06-03-2024,The food and vibe was amazing. Sabina was a great host and I loved the coffeee and desserts😍,excellent,273.39
06-03-2024,elaborate menu,positive,124.05
06-03-2024,A lovely experience as the staff was  warm and had a sweet smile on their faces as we asked for recommendations. Both Sabina & Priti were a delight that fit the ambience and the aesthetic of the place. It was interesting to have a taste of the coffee prior to it being served to fit our taste. Keep up the good job.! Shall visit again soon. 😊,excellent,264.23
06-03-2024,"Sabina and Priti are super sweet, and make amazing coffee and conversations!!",excellent,358.88
06-03-2024,"Very nice ambience, amazing place for snacking. Very nice staff sabina and priti are really sweet.",excellent,339.61
06-03-2024,AB's service is pretty good and i love this place,excellent,240.3
06-03-2024,I like this place Ettarra special the service ambiance people are very good specially AB,excellent,235.17
06-04-2024,Loved their frappe and even hot chocolate! And yes - the vadapav! :),excellent,315.14
06-04-2024,"Great coffee and snacks, recommended for all coffee lovers !!",excellent,360.19
06-04-2024,it's too good I am definitely going to recommend the hospitality was too good !!! and guy name AB was too potite !!!! ,neutral,120.99
06-04-2024,Absolutely a lovely experience everytime I visit! The tonic espresso with baked Vada Pav is a must try.,excellent,405.41
06-04-2024,"Kudos to the waiter at ettarra coffee house for their outstanding service. From the moment we were seated until the end of our meal and thay provided top-notch hospitalit and gave us unlimited banna chip and water and the professionalism and friendly demeanor made us feel welcome and valued as guests . AB ,Praveen,Aftab,Dhruv thay have given us best service and the filter coffee frappe is the best.",excellent,317.08
06-04-2024,we had great time nice coffee and nice staff we also loved the bakevade and bake pavbhaji fast service ,excellent,251.45
06-04-2024,Ettara!!! It is one of the best places to hangout with friends at night after the office to release the stress...from coffee to berliners to tartlets all the things they provide along with unlimited banana chips and water bottles. The best thing is the service they provide and politeness of the employees.. they are very friendly and available all the time especially Dhruv Aftab and Praveen.,excellent,332.29
06-04-2024,"""Having frequented this coffee shop for over a year now, I can confidently say that both the staff's professionalism and the hygiene standards have been consistently maintained. The team here is always welcoming, efficient, and goes above and beyond to ensure a pleasant experience. Moreover, the cleanliness and hygiene practices are commendable, providing a comfortable environment for patrons to enjoy their coffee. Overall, it's a reliable spot that I continue to frequent with confidence.""""Moreover, the coffee and food quality at this establishment are consistently at their peak. Whether it's a meticulously crafted espresso or a delicious pastry, the offerings never fail to...read more",excellent,233.9
